# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
而且,而且,ér qiě,(not only ...) but also,人们常用它来说出更多的词，而且很多都不是什么好的意思。,人們常用它來說出更多的詞，而且很多都不是什麼好的意思。,rén men cháng yòng tā lái shuō chū gèng duō de cí ， ér qiě hěn duō dōu bú shì shén me hǎo de yì si 。,"People commonly use it to say many other words, often ones without a very good meaning."
更,更,gèng,"even more
further",人们常用它来说出更多的词，而且很多都不是什么好的意思。,人們常用它來說出更多的詞，而且很多都不是什麼好的意思。,rén men cháng yòng tā lái shuō chū gèng duō de cí ， ér qiě hěn duō dōu bú shì shén me hǎo de yì si 。,"People commonly use it to say many other words, often ones without a very good meaning."
常用,常用,cháng yòng,in common usage,人们常用它来说出更多的词，而且很多都不是什么好的意思。,人們常用它來說出更多的詞，而且很多都不是什麼好的意思。,rén men cháng yòng tā lái shuō chū gèng duō de cí ， ér qiě hěn duō dōu bú shì shén me hǎo de yì si 。,"People commonly use it to say many other words, often ones without a very good meaning."
蛋,蛋,dàn,egg,在汉语中，“蛋”是一个很有意思的词，,在漢語中，“蛋”是一個很有意思的詞，,zài hàn yǔ zhōng ， “ dàn ” shì yí ge hěn yǒu yì si de cí ，,“Egg” is a very interesting word in the Chinese language.
词,詞,cí,word,在汉语中，“蛋”是一个很有意思的词，,在漢語中，“蛋”是一個很有意思的詞，,zài hàn yǔ zhōng ， “ dàn ” shì yí ge hěn yǒu yì si de cí ，,“Egg” is a very interesting word in the Chinese language.
心事,心事,xīn shì,"a load on one's mind
worry",钱红也很喜欢听小英说心事，,錢紅也很喜歡聽小英說心事，,qián hóng yě hěn xǐ huan tīng xiǎo yīng shuō xīn shì ，,Qian Hong also really liked to listen to Xiao Ying talk about her worries.
怎么办,怎麼辦,zěn me bàn,"what to do
what should we do",怎么办？小英想到了一个好办法。,怎麼辦？小英想到了一個好辦法。,zěn me bàn ？ xiǎo yīng xiǎng dào le yí ge hǎo bàn fǎ 。,What to do? Xiao Ying thought up a good way to do it.
湿,濕,shī,"moist
wet",外面下着雨，要是衣服湿了，他们就能看得出我是女孩子了。,外面下著雨，要是衣服濕了，他們就能看得出我是女孩子了。,wài miàn xià zhe yǔ yào shi yī fu shī le tā men jiù néng kàn de chū wǒ shì nǚ hái zi le,"It’s raining outside. If my clothes get wet, they would be able to see that I’m a girl."
个子,個子,gè zi,"height
stature
build",周小英个子小，打不过马文。,周小英個子小，打不過馬文。,zhōu xiǎo yīng gè zi xiǎo dǎ bu guò mǎ wén,"Zhou Xiao Ying was short, and was no match for Ma Wen."
打不过,打不過,dǎ bu guò,"unable to defeat
to be no match for sb",周小英个子小，打不过马文。,周小英個子小，打不過馬文。,zhōu xiǎo yīng gè zi xiǎo dǎ bu guò mǎ wén,"Zhou Xiao Ying was short, and was no match for Ma Wen."
的话,的話,de huà,if (coming after a conditional clause),因为马爸爸说了，马文不读书的话，就不给他钱。,因為馬爸爸說了，馬文不讀書的話，就不給他錢。,yīn wèi mǎ bà ba shuō le mǎ wén bù dú shū de huà jiù bù gěi tā qián,".. because Father Ma said, that if Ma Wen didn’t study, then he wouldn’t give him money."
上课,上課,shàng kè,to attend class,就这样，大山、小英和小七去教室上课了。,就這樣，大山、小英和小七去教室上課了。,jiù zhè yàng dà shān xiǎo yīng hé xiǎo qī qù jiào shì shàng kè le,"Just like this, Dashan, Xiao Ying, and Xiao Qi went to the classroom to attend class."
想起,想起,xiǎng qǐ,"to recall
to think of
to call to mind",是啊，为什么女孩子不可以上学呢？钱红想起了她的小时候。,是啊，為什麼女孩子不可以上學呢？錢紅想起了她的小時候。,shì a wèi shén me nǚ hái zi bù kě yǐ shàng xué ne qián hóng xiǎng qǐ le tā de xiǎo shí hou,"Yes, why couldn’t girls go to school? Qian Hong recalled her childhood."
哭,哭,kū,"to cry
to weep",她很想哭，但是她不能哭。因为她知道，男孩子是不会哭的。,她很想哭，但是她不能哭。因為她知道，男孩子是不會哭的。,tā hěn xiǎng kū ， dàn shì tā bù néng kū 。 yīn wèi tā zhī dào ， nán hái zi shì bú huì kū de 。,"She really wanted to cry, but she couldn’t cry. Because she knew, that a boy wouldn’t cry."
心想,心想,xīn xiǎng,to think to oneself,小英心想：“妈妈说了，不能让男孩子进我的房间。,小英心想：“媽媽說了，不能讓男孩子進我的房間。,xiǎo yīng xīn xiǎng ： “ mā ma shuō le ， bù néng ràng nán hái zi jìn wǒ de fáng jiān 。,Xiao Ying thought to herself: “Mother said that I couldn’t let boys into my room.”
教室,教室,jiào shì,classroom,钱红告诉他们，这里是教室、这里是吃饭的地方。,錢紅告訴他們，這裡是教室、這裡是吃飯的地方。,qián hóng gào su tā men ， zhè lǐ shì jiào shì 、 zhè lǐ shì chī fàn de dì fang 。,"Qian Hong told them, that this was the classroom, and this is the place for having meals."
阿姨,阿姨,ā yí,"aunt
woman of similar age to one's parents",钱红笑了，说：“我不是老师，你们叫我钱阿姨就可以了。,錢紅笑了，說：“我不是老師，你們叫我錢阿姨就可以了。,qián hóng xiào le ， shuō ： “ wǒ bú shì lǎo shī ， nǐ men jiào wǒ qián ā yí jiù kě yǐ le 。,"Qian Hong smiled, and said: “I’m not a teacher, you can call me Aunt Qian.”"
帮忙,幫忙,bāng máng,"to help
to lend a hand
to do a favor",老师的妻子会帮忙看学生们吃得怎么样，住得怎么样。,老師的妻子會幫忙看學生們吃得怎麼樣，住得怎麼樣。,lǎo shī de qī zi huì bāng máng kàn xué sheng men chī de zěn me yàng ， zhù de zěn me yàng 。,The teacher’s wife would help see about the students eating and living.
完,完,wán,"to finish
to complete",一路上小英和大山说这说那，他们有说不完的话。,一路上小英和大山說這說那，他們有說不完的話。,yí lù shang xiǎo yīng hé dà shān shuō zhè shuō nà ， tā men yǒu shuō bù wán de huà 。,"The whole journey Xiao Ying and Dashan talked about this and that, and didn’t run out of things to say."
进来,進來,jìn lái,to come in,“我进来的时候你们不是没认出我吗？,“我進來的時候你們不是沒認出我嗎？,“ wǒ jìn lái de shí hou nǐ men bú shì méi rèn chū wǒ ma ？,"“You didn't recognize that it was me when I came in, right?”"
那么,那麼,nà me,"like that
so
then",过了一会儿，他问小英：“你真的那么想去上学吗？”,過了一會兒，他問小英：“你真的那麼想去上學嗎？”,guò le yí huì'r ， tā wèn xiǎo yīng ： “ nǐ zhēn de nà me xiǎng qù shàng xué ma ？”,"After a while, he asked Xiao Ying: “You really want to go to school that much?”"
出来,出來,chū lái,"to come out
to appear",周妈妈笑了，说：“你是我的女儿，我怎么会看不出来？”,周媽媽笑了，說：“你是我的女兒，我怎麼會看不出來？”,zhōu mā ma xiào le ， shuō ： “ nǐ shì wǒ de nǚ ér ， wǒ zěn me huì kàn bù chū lái ？”,"Mother Zhou smiled, and said: “You’re my daughter, how could I not notice?”"
看到,看到,kàn dào,"to notice
to see",小英看到妈妈认出她了，有点不高兴地说：,小英看到媽媽認出她了，有點不高興地說：,xiǎo yīng kàn dào mā ma rèn chū tā le ， yǒu diǎn bù gāo xìng de shuō ：,"Xiao Ying saw that mother had recognized her, and said a bit unhappily:"
认出,認出,rèn chū,"to recognize
recognition",现在我知道了，是因为你穿着男人的衣服，我没能认出你。”,現在我知道了，是因為你穿著男人的衣服，我沒能認出你。”,xiàn zài wǒ zhī dào le ， shì yīn wèi nǐ chuān zhe nán rén de yī fu ， wǒ méi néng rèn chū nǐ 。”,"“Now I know, it’s because you're wearing men’s clothes that I couldn’t recognize you.”"
大叫,大叫,dà jiào,"to yell
to shout",她看着这个医生，过了一会儿后，大叫了起来：,她看著這個醫生，過了一會兒後，大叫了起來：,tā kàn zhe zhè ge yī shēng ， guò le yí huì'r hòu ， dà jiào le qǐ lái ：,"She looked at the doctor, and after a moment, she shouted:"
像,像,xiàng,"to resemble
to be like",“穿上男人的衣服……”周妈妈说得很慢，像是在想着什么事情。,“穿上男人的衣服……”周媽媽說得很慢，像是在想著什麼事情。,“ chuān shang nán rén de yī fu ……” zhōu mā ma shuō de hěn màn ， xiàng shì zài xiǎng zhe shén me shì qing 。,"“Put on men’s clothes…” Mother Zhou said very slowly, as if thinking about something."
穿上,穿上,chuān shang,to put on (clothes etc),“她可以穿上男人的衣服，她不说她是女孩子，没有人知道她是女孩子的。”,“她可以穿上男人的衣服，她不說她是女孩子，沒有人知道她是女孩子的。”,“ tā kě yǐ chuān shang nán rén de yī fu ， tā bù shuō tā shì nǚ hái zi ， méi yǒu rén zhī dào tā shì nǚ hái zi de 。”,"“She could put on men’s clothes, and not say that she is a girl. Then no one would know that she is a girl.”"
一会儿,一會兒,yí huì'r,"a moment
a while
coll. also pronounced yì huǐ'r",过了一会儿，这个医生说：,過了一會兒，這個醫生說：,guò le yí huì'r ， zhè ge yī shēng shuō ：,"A moment went by, and the doctor said:"
过,過,guò,"to pass (time)
to spend (time)
to live (a life)",过了一会儿，这个医生说：,過了一會兒，這個醫生說：,guò le yí huì'r ， zhè ge yī shēng shuō ：,"A moment went by, and the doctor said:"
件,件,jiàn,"classifier for events, things, clothes etc",她每天都在想这件事情，想着想着就生病了。”,她每天都在想這件事情，想著想著就生病了。”,tā měi tiān dōu zài xiǎng zhè jiàn shì qing ， xiǎng zhe xiǎng zhe jiù shēng bìng le 。”,"“She thinks about this matter each and every day, and has fallen ill from thinking and thinking about it.”"
事情,事情,shì qing,"matter
thing",“你们女儿得的是心病。她心里面有事情。,“你們女兒得的是心病。她心裡面有事情。,“ nǐ men nǚ ér dé de shì xīn bìng 。 tā xīn lǐ miàn yǒu shì qing 。,“Your daughter has a secret worry. There is something on her mind.”
里面,裡面,lǐ miàn,"inside
interior",“你们女儿得的是心病。她心里面有事情。,“你們女兒得的是心病。她心裡面有事情。,“ nǐ men nǚ ér dé de shì xīn bìng 。 tā xīn lǐ miàn yǒu shì qing 。,“Your daughter has a secret worry. There is something on her mind.”
说道,說道,shuō dào,"to state
to say (the quoted words)",这个医生坐下来，喝了一点茶，慢慢地说道：,這個醫生坐下來，喝了一點茶，慢慢地說道：,zhè ge yī shēng zuò xia lai ， hē le yì diǎn chá ， màn man de shuō dào ：,"This doctor sat down, drank some tea, and said slowly:"
待续,待續,dài xù,to be continued,（未完待续）,（未完待續）,（ wèi wán dài xù ）,(To be continued)
未,未,wèi,"not yet
have not",（未完待续）,（未完待續）,（ wèi wán dài xù ）,(To be continued)
好像,好像,hǎo xiàng,"as if
to seem like",周爸爸和周妈妈看着这个医生，他们觉得这个医生好像在哪里见过。,周爸爸和周媽媽看著這個醫生，他們覺得這個醫生好像在哪裏見過。,zhōu bà ba hé zhōu mā ma kàn zhe zhè ge yī shēng ， tā men jué de zhè ge yī shēng hǎo xiàng zài nǎ lǐ jiàn guò 。,Father Zhou and Mother Zhou watched this doctor and felt like they’d seen this doctor somewhere before.
好笑,好笑,hǎo xiào,"laughable
funny
ridiculous",他不是很高，但是穿着很大的衣服，看起来很好笑。,他不是很高，但是穿著很大的衣服，看起來很好笑。,tā bú shì hěn gāo ， dàn shì chuān zhe hěn dà de yī fu ， kàn qǐ lái hěn hǎo xiào 。,"He wasn’t very tall, but wore very large clothes, and looked very ridiculous."
看起来,看起來,kàn qǐ lái,"seemingly
apparently
looks as if",他不是很高，但是穿着很大的衣服，看起来很好笑。,他不是很高，但是穿著很大的衣服，看起來很好笑。,tā bú shì hěn gāo ， dàn shì chuān zhe hěn dà de yī fu ， kàn qǐ lái hěn hǎo xiào 。,"He wasn’t very tall, but wore very large clothes, and looked very ridiculous."
穿,穿,chuān,"to wear
to put on",他不是很高，但是穿着很大的衣服，看起来很好笑。,他不是很高，但是穿著很大的衣服，看起來很好笑。,tā bú shì hěn gāo ， dàn shì chuān zhe hěn dà de yī fu ， kàn qǐ lái hěn hǎo xiào 。,"He wasn’t very tall, but wore very large clothes, and looked very ridiculous."
看出,看出,kàn chū,"to make out
to see",但是医生看来看去，没有看出小英得的是什么病。,但是醫生看來看去，沒有看出小英得的是什麼病。,dàn shì yī shēng kàn lái kàn qù ， méi yǒu kàn chū xiǎo yīng dé de shì shén me bìng 。,".. but the doctor looked here and there, and couldn’t make out what illness Xiao Ying had."
看病,看病,kàn bìng,"to visit a doctor
to see a patient",他们找了医生来家里给小英看病，,他們找了醫生來家裡給小英看病，,tā men zhǎo le yī shēng lái jiā lǐ gěi xiǎo yīng kàn bìng ，,"They looked for a doctor to come to their house and see Xiao Ying, .."
下人,下人,xià rén,servant,一天，周小英的下人小七跑来告诉周爸爸周妈妈：,一天，周小英的下人小七跑來告訴周爸爸周媽媽：,yì tiān ， zhōu xiǎo yīng de xià rén xiǎo qī pǎo lái gào su zhōu bà ba zhōu mā ma ：,"One day, Zhou Xiao Ying’s servant Xiao Qi ran to tell Father Zhou and Mother Zhou:"
小七,小七,xiǎo qī,Xiao Qi (name),一天，周小英的下人小七跑来告诉周爸爸周妈妈：,一天，周小英的下人小七跑來告訴周爸爸周媽媽：,yì tiān ， zhōu xiǎo yīng de xià rén xiǎo qī pǎo lái gào su zhōu bà ba zhōu mā ma ：,"One day, Zhou Xiao Ying’s servant Xiao Qi ran to tell Father Zhou and Mother Zhou:"
办法,辦法,bàn fǎ,"method
way (of doing sth)",她想了很长时间，想到了一个好办法。,她想了很長時間，想到了一個好辦法。,tā xiǎng le hěn cháng shí jiān ， xiǎng dào le yí ge hǎo bàn fǎ 。,She thought for a very long time and figured out a good way.
杭州,杭州,háng zhōu,Hangzhou subprovincial city and capital of Zhejiang province in southeast China,一千六百年前，杭州。,一千六百年前，杭州。,yì qiān liù bǎi nián qián ， háng zhōu 。,"1,600 years ago, Hangzhou."
千,千,qiān,thousand,一千六百年前，杭州。,一千六百年前，杭州。,yì qiān liù bǎi nián qián ， háng zhōu 。,"1,600 years ago, Hangzhou."
成,成,chéng,"to become
to turn into",人们还把八公的故事做成了电影。,人們還把八公的故事做成了電影。,rén men hái bǎ bā gōng de gù shi zuò chéng le diàn yǐng 。,People have also made a movie out of Hachiko’s story.
把,把,bǎ,particle marking the following noun as a direct object,人们还把八公的故事做成了电影。,人們還把八公的故事做成了電影。,rén men hái bǎ bā gōng de gù shi zuò chéng le diàn yǐng 。,People have also made a movie out of Hachiko’s story.
地方,地方,dì fang,"area
place
territory",现在，车站前的八公雕像是日本一个很有名的地方。,現在，車站前的八公雕像是日本一個很有名的地方。,xiàn zài ， chē zhàn qián de bā gōng diāo xiàng shì rì běn yí ge hěn yǒu míng de dì fang 。,"Now, the Hachiko Statue in front of the station is a very famous place in Japan."
有名,有名,yǒu míng,"famous
well-known",现在，车站前的八公雕像是日本一个很有名的地方。,現在，車站前的八公雕像是日本一個很有名的地方。,xiàn zài ， chē zhàn qián de bā gōng diāo xiàng shì rì běn yí ge hěn yǒu míng de dì fang 。,"Now, the Hachiko Statue in front of the station is a very famous place in Japan."
感动,感動,gǎn dòng,"to move (sb)
to touch (sb emotionally)",八公的故事让很多人感动。,八公的故事讓很多人感動。,bā gōng de gù shi ràng hěn duō rén gǎn dòng 。,Hachiko’s story has touched many people.
故事,故事,gù shi,"story
tale",八公的故事让很多人感动。,八公的故事讓很多人感動。,bā gōng de gù shi ràng hěn duō rén gǎn dòng 。,Hachiko’s story has touched many people.
接,接,jiē,"to meet or welcome sb
to pick up sb",它每天都看着主人去工作，晚上再去车站接主人回家。,牠每天都看著主人去工作，晚上再去車站接主人回家。,tā měi tiān dōu kàn zhe zhǔ rén qù gōng zuò ， wǎn shang zài qù chē zhàn jiē zhǔ rén huí jiā 。,"Every day, he would watch his owner go to work, and in the evening, he would go to the station to meet his owner and return home together."
主人,主人,zhǔ rén,"master
host
owner",它每天都看着主人去工作，晚上再去车站接主人回家。,牠每天都看著主人去工作，晚上再去車站接主人回家。,tā měi tiān dōu kàn zhe zhǔ rén qù gōng zuò ， wǎn shang zài qù chē zhàn jiē zhǔ rén huí jiā 。,"Every day, he would watch his owner go to work, and in the evening, he would go to the station to meet his owner and return home together."
出生,出生,chū shēng,to be born,八公在1923年出生，,八公在1923年出生，,bā gōng zài 1923 nián chū shēng ，,Hachiko was born in 1923.
八公,八公,bā gōng,Hachiko (a Japanese Akita dog remembered for his remarkable loyalty to his owner),这个雕像是为了让人们记住一只叫“八公”的狗。,這個雕像是為了讓人們記住一隻叫“八公”的狗。,zhè ge diāo xiàng shì wèi le ràng rén men jì zhu yì zhī jiào “ bā gōng ” de gǒu 。,This statue is to remind people of a dog named “Hachiko”.
记住,記住,jì zhu,"to remember
to bear in mind
to learn by heart",这个雕像是为了让人们记住一只叫“八公”的狗。,這個雕像是為了讓人們記住一隻叫“八公”的狗。,zhè ge diāo xiàng shì wèi le ràng rén men jì zhu yì zhī jiào “ bā gōng ” de gǒu 。,This statue is to remind people of a dog named “Hachiko”.
雕像,雕像,diāo xiàng,"sculpture
(carved) statue",在日本有一个车站，车站前有一个狗的雕像。,在日本有一個車站，車站前有一個狗的雕像。,zài rì běn yǒu yí ge chē zhàn ， chē zhàn qián yǒu yí ge gǒu de diāo xiàng 。,"In Japan, there is a train station in front of which there is a dog statue."
车站,車站,chē zhàn,"rail station
bus stop",在日本有一个车站，车站前有一个狗的雕像。,在日本有一個車站，車站前有一個狗的雕像。,zài rì běn yǒu yí ge chē zhàn ， chē zhàn qián yǒu yí ge gǒu de diāo xiàng 。,"In Japan, there is a train station in front of which there is a dog statue."
女人,女人,nǚ rén,"a woman
female",“八两，是你吗？”女人问。,“八兩，是你嗎？”女人問。,“ bā liǎng ， shì nǐ ma ？ ” nǚ rén wèn 。,"“Baliang, is that you?” the woman asked."
走,走,zǒu,to die (euph.),九、谢老师走了,九、謝老師走了,jiǔ 、 xiè lǎo shī zǒu le,9. Teacher Xie Passes Away
告诉,告訴,gào su,"to tell
to inform",“八两，我知道了，是他们让你来的。他们让你来告诉我，他们没有不快乐。,“八兩，我知道了，是他們讓你來的。他們讓你來告訴我，他們沒有不快樂。,“ bā liǎng ， wǒ zhī dào le ， shì tā men ràng nǐ lái de 。 tā men ràng nǐ lái gào su wǒ ， tā men méi yǒu bú kuài lè 。,"“Baliang, I know that it’s them who sent you here. They asked you to tell me that they are not unhappy."
生病,生病,shēng bìng,to fall ill,“八两，你生病了！快！我们去医院！”,“八兩，你生病了！快！我們去醫院！”,“ bā liǎng ， nǐ shēng bìng le ！ kuài ！ wǒ men qù yī yuàn ！ ”,".. “Baliang, you are sick! Quick! We’re going to the hospital!”"
希望,希望,xī wàng,"to wish for
to desire
to hope",乐天说：“真希望你能快点儿见到他们。再见！”,樂天說：“真希望你能快點兒見到他們。再見！”,lè tiān shuō ： “ zhēn xī wàng nǐ néng kuài diǎn'r jiàn dào tā men 。 zài jiàn ！ ”,"Le Tian said, “I really hope you can see them soon. Goodbye!”"
上学,上學,shàng xué,"to go to school
to attend school",我明年要去国外上学，现在每天都要学习，太忙了。我走了，下次见。”,我明年要去國外上學，現在每天都要學習，太忙了。我走了，下次見。”,wǒ míng nián yào qù guó wài shàng xué ， xiàn zài měi tiān dōu yào xué xí ， tài máng le 。 wǒ zǒu le ， xià cì jiàn 。 ”,"I am going abroad to study next year, so now I have to study every day. I am so busy. I’m leaving, see you next time.”"
国外,國外,guó wài,"abroad
overseas
foreign",我明年要去国外上学，现在每天都要学习，太忙了。我走了，下次见。”,我明年要去國外上學，現在每天都要學習，太忙了。我走了，下次見。”,wǒ míng nián yào qù guó wài shàng xué ， xiàn zài měi tiān dōu yào xué xí ， tài máng le 。 wǒ zǒu le ， xià cì jiàn 。 ”,"I am going abroad to study next year, so now I have to study every day. I am so busy. I’m leaving, see you next time.”"
长,長,cháng,"length
long",因为它，我很高兴。我已经很长时间没有这么高兴了。”,因為牠，我很高興。我已經很長時間沒有這麼高興了。”,yīn wèi tā ， wǒ hěn gāo xìng 。 wǒ yǐ jīng hěn cháng shí jiān méi yǒu zhè me gāo xìng le 。 ”,"Because of him, I’m very happy. I haven’t been this happy in a very long time.”"
跳,跳,tiào,"to jump
to hop",院子里有个足球，八两很喜欢这个足球，它高兴地又跑又跳。,院子裡有個足球，八兩很喜歡這個足球，牠高興地又跑又跳。,yuàn zi lǐ yǒu ge zú qiú ， bā liǎng hěn xǐ huan zhè ge zú qiú ， tā gāo xìng de yòu pǎo yòu tiào 。,There was a football in the courtyard. Baliang really liked this football. He happily ran and jumped.
跑,跑,pǎo,to run,院子里有个足球，八两很喜欢这个足球，它高兴地又跑又跳。,院子裡有個足球，八兩很喜歡這個足球，牠高興地又跑又跳。,yuàn zi lǐ yǒu ge zú qiú ， bā liǎng hěn xǐ huan zhè ge zú qiú ， tā gāo xìng de yòu pǎo yòu tiào 。,There was a football in the courtyard. Baliang really liked this football. He happily ran and jumped.
足球,足球,zú qiú,"football (sport)
soccer
football or soccer ball (ball used in this sport)",院子里有个足球，八两很喜欢这个足球，它高兴地又跑又跳。,院子裡有個足球，八兩很喜歡這個足球，牠高興地又跑又跳。,yuàn zi lǐ yǒu ge zú qiú ， bā liǎng hěn xǐ huan zhè ge zú qiú ， tā gāo xìng de yòu pǎo yòu tiào 。,There was a football in the courtyard. Baliang really liked this football. He happily ran and jumped.
打开,打開,dǎ kāi,"to turn on
to switch on",八两叫了一声，半斤打开了电视。,八兩叫了一聲，半斤打開了電視。,bā liǎng jiào le yì shēng ， bàn jīn dǎ kāi le diàn shì 。,Baliang let out a bark. Banjin turned on the TV.
电视机,電視機,diàn shì jī,television set,房子里有床，有椅子，有桌子，还有电视机。,房子裡有床，有椅子，有桌子，還有電視機。,fáng zi lǐ yǒu chuáng ， yǒu yǐ zi ， yǒu zhuō zi ， hái yǒu diàn shì jī 。,"Inside the house, there was a bed, a chair, a table, and also a television."
床,床,chuáng,bed,房子里有床，有椅子，有桌子，还有电视机。,房子裡有床，有椅子，有桌子，還有電視機。,fáng zi lǐ yǒu chuáng ， yǒu yǐ zi ， yǒu zhuō zi ， hái yǒu diàn shì jī 。,"Inside the house, there was a bed, a chair, a table, and also a television."
椅子,椅子,yǐ zi,chair,房子里有床，有椅子，有桌子，还有电视机。,房子裡有床，有椅子，有桌子，還有電視機。,fáng zi lǐ yǒu chuáng ， yǒu yǐ zi ， yǒu zhuō zi ， hái yǒu diàn shì jī 。,"Inside the house, there was a bed, a chair, a table, and also a television."
院子,院子,yuàn zi,"courtyard
garden
yard",半斤的房子真的很小，但是房子前面有个院子，院子不小。,半斤的房子真的很小，但是房子前面有個院子，院子不小。,bàn jīn de fáng zi zhēn de hěn xiǎo ， dàn shì fáng zi qián miàn yǒu ge yuàn zi ， yuàn zi bù xiǎo 。,"Banjin’s house was really small, but there was a courtyard in front of the house, and the courtyard was not small."
就,就,jiù,"just
exactly
precisely",他们走远了，雪听到，男人说：“你没有名字，我就叫你八两吧！,他們走遠了，雪聽到，男人說：“你沒有名字，我就叫你八兩吧！,tā men zǒu yuǎn le ， xuě tīng dào ， nán rén shuō ： “ nǐ méi yǒu míng zi ， wǒ jiù jiào nǐ bā liǎng ba ！,"They walked into the distance. The snow heard the man say, “You have no name. I’ll call you Baliang then!"
远,遠,yuǎn,"far
distant",他们走远了，雪听到，男人说：“你没有名字，我就叫你八两吧！,他們走遠了，雪聽到，男人說：“你沒有名字，我就叫你八兩吧！,tā men zǒu yuǎn le ， xuě tīng dào ， nán rén shuō ： “ nǐ méi yǒu míng zi ， wǒ jiù jiào nǐ bā liǎng ba ！,"They walked into the distance. The snow heard the man say, “You have no name. I’ll call you Baliang then!"
大声,大聲,dà shēng,"loud voice
loudly",他看了看还在下的雪，大声说：“走，我们回去。”,他看了看還在下的雪，大聲說：“走，我們回去。”,tā kàn le kàn hái zài xià de xuě ， dà shēng shuō ： “ zǒu ， wǒ men huí qù 。 ”,"He looked at the snow that was still falling and said loudly, “Let’s go. We’re heading home.”"
半斤八两,半斤八兩,bàn jīn bā liǎng,"six of one, half a dozen of the other
two of a kind
(from the historical Chinese measurement system, wherein one 斤 was equal to 16 两|兩.",男人笑了，说：“我们是半斤八两，都是没家的人。”,男人笑了，說：“我們是半斤八兩，都是沒家的人。”,nán rén xiào le ， shuō ： “ wǒ men shì bàn jīn bā liǎng ， dōu shì méi jiā de rén 。 ”,"The man laughed, saying, “We are two of a kind. Neither of us have a family.”"
叫声,叫聲,jiào shēng,sounds produced by birds/animals,大狗叫了几声。大狗的叫声不大，但男人听懂了，,大狗叫了幾聲。大狗的叫聲不大，但男人聽懂了，,dà gǒu jiào le jǐ shēng 。 dà gǒu de jiào shēng bú dà ， dàn nán rén tīng dǒng le ，,"The big dog barked a few times. The big dog’s bark wasn’t loud, but the man understood."
声,聲,shēng,classifier for sounds,大狗叫了几声。大狗的叫声不大，但男人听懂了，,大狗叫了幾聲。大狗的叫聲不大，但男人聽懂了，,dà gǒu jiào le jǐ shēng 。 dà gǒu de jiào shēng bú dà ， dàn nán rén tīng dǒng le ，,"The big dog barked a few times. The big dog’s bark wasn’t loud, but the man understood."
半斤,半斤,bàn jīn,"Banjin, name",三、半斤和八两,三、半斤和八兩,sān 、 bàn jīn hé bā liǎng,3. Banjin and Baliang
妻子,妻子,qī zi,wife,我的妻子和孩子都不在了，我没有家，你——”他问：“你真的喜欢我吗？”,我的妻子和孩子都不在了，我沒有家，你——”他問：“你真的喜歡我嗎？”,wǒ de qī zi hé hái zi dōu bú zài le ， wǒ méi yǒu jiā ， nǐ — — ” tā wèn ： “ nǐ zhēn de xǐ huan wǒ ma ？ ”,"My wife and child are no longer with me. I don’t have a family. Do you …” he asked, “Do you really like me?”"
星星,星星,xīng xing,star in the sky,女孩很漂亮，眼睛里有星星，她是一个好女孩。,女孩很漂亮，眼睛裡有星星，她是一個好女孩。,nǚ hái hěn piào liang ， yǎn jing lǐ yǒu xīng xing ， tā shì yí ge hǎo nǚ hái 。,The girl was very beautiful. There were stars in her eyes. She was a good girl.
声说,聲說,shēng shuō,to narrate,“让狗狗和你回家吧！”女孩大声说。,“讓狗狗和你回家吧！”女孩大聲說。,“ ràng gǒu gǒu hé nǐ huí jiā ba ！ ” nǚ hái dà shēng shuō 。,“Let the dog go home with you!” the girl said loudly.
有时候,有時候,yǒu shí hou,sometimes,大狗有时候睡在路边，有时候坐在路边，有时候在路上慢慢地走着。,大狗有時候睡在路邊，有時候坐在路邊，有時候在路上慢慢地走著。,dà gǒu yǒu shí hou shuì zài lù biān ， yǒu shí hou zuò zài lù biān ， yǒu shí hou zài lù shang màn man de zǒu zhe 。,"The big dog sometimes slept on the side of the road, sometimes sat on the side of the road, and sometimes walked slowly on the road."
条,條,tiáo,classifier for long and thin objects or animals,路边有条狗。狗很大，睡在雨里，也是又冷又累。,路邊有條狗。狗很大，睡在雨裡，也是又冷又累。,lù biān yǒu tiáo gǒu 。 gǒu hěn dà ， shuì zài yǔ lǐ ， yě shì yòu lěng yòu lèi 。,There was a dog by the side of the road. The dog was very big and was sleeping in the rain. He was also cold and tired.
身体,身體,shēn tǐ,one’s health,男人的身体不太好，他又冷又累，慢慢地走着。,男人的身體不太好，他又冷又累，慢慢地走著。,nán rén de shēn tǐ bú tài hǎo ， tā yòu lěng yòu lèi ， màn man de zǒu zhe 。,"The man’s health was not good. He was cold and tired, and he walked slowly."
关门,關門,guān mén,"to close a door
(of a shop etc) to close (for the night, or permanently)",路上没有人，路边的商店也都关门了。,路上沒有人，路邊的商店也都關門了。,lù shang méi yǒu rén ， lù biān de shāng diàn yě dōu guān mén le 。,"There was nobody on the road, and the shops by the side of the road were all closed."
路边,路邊,lù biān,"curb
roadside",路上没有人，路边的商店也都关门了。,路上沒有人，路邊的商店也都關門了。,lù shang méi yǒu rén ， lù biān de shāng diàn yě dōu guān mén le 。,"There was nobody on the road, and the shops by the side of the road were all closed."
